*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has abridger family,rdae:abridgerFamily.en,Relates an expression to a family who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,Substantial modification that results in the creation of a new work is excluded.,,,,abridger family,A family who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20534,property,rdac:C10006,rdae:P20524,rdae:P20416,,Published,,2,
has recordist family,rdae:recordistFamily.en,Relates an expression to a family who contributes to an expression by using a recording device to capture sound or video during a recording session.,"Includes field recordings of natural sounds, music performances, and other events.",,,,recordist family,A family who contributes to an expression by using a recording device to capture sound or video during a recording session.,rdae:P20535,property,rdac:C10006,rdae:P20543,rdae:P20417,,Published,,2,
has transcriber family,rdae:transcriberFamily.en,"Relates an expression to a family who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",Transcription of a musical work for a different instrument or performing group is excluded.,,,,transcriber family,"A family who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",rdae:P20536,property,rdac:C10006,rdae:P20524,rdae:P20418,,Published,,2,
has special effects provider family,rdae:specialEffectsProviderFamily.en,Relates an expression to a family who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,,,,,special effects provider family,A family who contributes to an expression of a moving image or audio work by designing and creating on-set special effects such as on-set mechanical effects and in-camera optical effects.,rdae:P20537,property,rdac:C10006,rdae:P20543,rdae:P20419,,Published,,2,
has visual effects provider family,rdae:visualEffectsProviderFamily.en,Relates an expression to a family who contributes to an expression of a moving image work by designing and creating post-production visual effects.,,,,,visual effects provider family,A family who contributes to an expression of a moving image work by designing and creating post-production visual effects.,rdae:P20538,property,rdac:C10006,rdae:P20543,rdae:P20420,,Published,,2,
has music programmer family,rdae:musicProgrammerFamily.en,Relates an expression to a family who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,The creation of a new musical work is excluded.,,,,music programmer family,A family who contributes to an expression of a musical work by using electronic audio devices or computer software to generate sounds.,rdae:P20539,property,rdac:C10006,rdae:P20543,rdae:P20421,,Published,,2,
has onscreen participant family,rdae:onscreenParticipantFamily.en,Relates an expression to a family who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,Appearance on screen to provide contextual or background information is excluded.,,,,onscreen participant family,A family who contributes to an expression of a nonfiction moving image work by taking an active role as a participant.,rdae:P20540,property,rdac:C10006,rdae:P20543,rdae:P20422,,Published,,2,
has stage director family,rdae:stageDirectorFamily.en,Relates an expression to a family who contributes to an expression of a stage work through the general management and supervision of a performance.,,,,,stage director family,A family who contributes to an expression of a stage work through the general management and supervision of a performance.,rdae:P20541,property,rdac:C10006,rdae:P20543,rdae:P20423,,Published,,2,
has arranger family of music,rdae:arrangerFamilyOfMusic.en,Relates an expression to a family who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,"Contribution includes modification of a work for the same medium of performance, etc., that keeps the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",,,,arranger family of music,A family who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,rdae:P20542,property,rdac:C10006,rdae:P20524,rdae:P20424,,Published,,2,
has contributor family to performance,rdae:contributorFamilyToPerformance.en,Relates an expression to a family who contributes to an expression that is a performance.,,,,,contributor family to performance,A family who contributes to an expression that is a performance.,rdae:P20543,property,rdac:C10006,rdae:P20544,rdae:P20425,,Published,,2,
